conversation_ID,floor_transfer_offset,conversation_time,t1_speaker,t2_speaker,t1_seq_initiating,t1_seq_responding,t1_seq_backchannel,t2_seq_initiating,t2_seq_responding,t2_seq_backchannel,t1_proc_clauses,t2_proc_clauses,t1_proc_frequency,t2_proc_frequency,t1_proc_concreteness,t2_proc_concreteness,t1_nonv_speaker_gaze,t1_nonv_listener_gaze,t1_nonv_pitch,t1_oth_sex,t2_oth_sex,t1_proc_speechrate,t2_proc_speechrate,t1_proc_duration,t2_proc_duration
DVA1A,0.08900000000001285,83.838,1,2,no,no,no,no,no,yes,5,1,618.0555555555555,2702,1.9172,1.53,g,g,high,F,F,1.191205706432571,1.2522217017295931,9.835999999999999,0.4399999999999977
DVA1A,0.1319999999999908,84.367,2,1,no,no,yes,no,no,no,1,6,2702,559.1379310344828,1.53,1.8559999999999999,g,g-x,high,F,F,1.2522217017295931,1.0434398695061546,0.4399999999999977,7.763000000000005
DVA1A,-0.20000000000000284,92.062,1,2,no,no,no,no,no,yes,6,1,559.1379310344828,444,1.8559999999999999,2.47,g,g,low,F,F,1.0434398695061546,1.4939577929860453,7.763000000000005,0.6899999999999977
DVA1A,-0.43200000000000216,92.32,2,1,no,no,yes,no,no,no,1,3,444,662.6538461538462,2.47,2.0195000000000003,g,g,mid,F,F,1.4939577929860453,1.1358992973239246,0.6899999999999977,6.976000000000013
DVA1A,-0.9920000000000044,98.304,1,2,no,no,no,no,no,no,3,1,662.6538461538462,534.2,2.0195000000000003,2.3575,g,g,mid,F,F,1.1358992973239246,1.1101443014165762,6.976000000000013,1.7999999999999972
DVA1A,0.6869999999999976,100.104,2,1,no,no,no,no,no,no,1,2,534.2,458.8,2.3575,1.9030769230769233,g,g,low,F,F,1.1101443014165762,1.0071449865603133,1.7999999999999972,4.13000000000001
DVA1A,-0.24900000000000944,104.672,1,2,no,no,no,no,no,yes,2,3,458.8,560.1818181818181,1.9030769230769233,2.1305882352941174,g,g,mid,F,F,1.0071449865603133,0.916376923524216,4.13000000000001,5.783000000000001
DVA1A,-0.24099999999999966,110.214,2,1,no,no,no,no,no,yes,3,1,560.1818181818181,444,2.1305882352941174,2.47,g,g,mid,F,F,0.916376923524216,4.677192912823489,5.783000000000001,0.7900000000000063
DVA1A,-0.4939999999999998,110.51,1,2,no,no,yes,no,no,no,1,1,444,1053.5,2.47,1.07,g,g,mid,F,F,4.677192912823489,1.5130654559804182,0.7900000000000063,0.519999999999996
DVA1A,0.7219999999999942,111.03,2,1,no,no,no,no,no,no,1,1,1053.5,848.25,1.07,2.1325000000000003,g,g,mid,F,F,1.5130654559804182,1.0381008746019174,0.519999999999996,0.7700000000000102
DVA1A,0.20199999999999818,112.522,1,2,no,no,no,no,no,no,1,1,848.25,436.25,2.1325000000000003,1.6525,g,g,mid,F,F,1.0381008746019174,1.164093270840853,0.7700000000000102,1.259999999999991
DVA1A,-0.12999999999999545,113.854,2,1,no,no,no,no,no,no,1,2,436.25,211.75,1.6525,2.2,x-g,g,high,F,F,1.164093270840853,0.9222747816468829,1.259999999999991,2.298000000000002
DVA1A,0.32200000000000273,116.152,1,2,no,no,no,yes,no,no,2,1,211.75,543.3333333333334,2.2,1.7075,g,g,low,F,F,0.9222747816468829,1.1804752951986164,2.298000000000002,1.1199999999999903
DVA1A,0.14200000000001012,117.594,2,1,yes,no,no,no,yes,no,1,3,543.3333333333334,400.6666666666667,1.7075,1.6825,g,x,mid,F,F,1.1804752951986164,1.152974419019072,1.1199999999999903,4.095999999999989
DVA1A,0.038000000000010914,121.832,1,2,no,no,no,no,no,yes,3,2,400.6666666666667,723.5833333333334,1.6825,1.8666666666666663,g,g,mid,F,F,1.152974419019072,1.0104256383112713,4.095999999999989,2.3499999999999943
DVA1A,0.8850000000000051,124.22,2,1,no,no,no,no,no,no,2,1,723.5833333333334,482.75,1.8666666666666663,1.9175,g,g,mid,F,F,1.0104256383112713,1.0025648135277014,2.3499999999999943,1.0300000000000011
DVA1A,-0.7360000000000042,125.399,1,2,no,no,no,no,no,no,1,NA,482.75,NA,1.9175,NA,g,g,high,F,F,1.0025648135277014,1.0197783815629524,1.0300000000000011,0.769999999999996
DVA1A,0.028999999999996362,126.169,2,1,no,no,no,no,no,no,NA,1,NA,154.14285714285714,NA,1.7666666666666664,g,g,mid,F,F,1.0197783815629524,0.8322595374745506,0.769999999999996,2.1300000000000097
DVA1A,-0.21999999999999886,128.108,1,2,no,no,no,no,no,yes,1,1,154.14285714285714,2702,1.7666666666666664,1.53,g,g,high,F,F,0.8322595374745506,1.8146540974899763,2.1300000000000097,0.22999999999998977
DVA1A,0.05299999999999727,128.338,2,1,no,no,yes,no,no,no,1,1,2702,551.875,1.53,2.2,g,g,high,F,F,1.8146540974899763,1.5529107598388316,0.22999999999998977,3.6000000000000227
DVA1A,0.1349999999999909,131.991,1,2,no,no,no,no,no,yes,1,1,551.875,2702,2.2,1.53,g,g,high,F,F,1.5529107598388316,1.954119752364679,3.6000000000000227,0.21999999999999886
DVA1A,-0.02400000000000091,132.322,2,1,no,no,yes,no,no,no,1,1,2702,544.9090909090909,1.53,1.7325,g,g,high,F,F,1.954119752364679,1.0978182372021204,0.21999999999999886,3.0720000000000027
DVA1A,-0.09000000000000341,135.304,1,2,no,no,no,yes,no,no,1,1,544.9090909090909,279,1.7325,1.4525000000000001,g,g,mid,F,F,1.0978182372021204,0.8596590848803882,3.0720000000000027,1.1200000000000045
DVA1A,-0.008000000000009777,136.416,2,1,yes,no,no,no,yes,no,1,2,279,1386,1.4525000000000001,1.6,g,g,low,F,F,0.8596590848803882,0.8835589653434726,1.1200000000000045,1.039999999999992
DVA1A,0.07800000000000296,137.456,1,2,no,no,yes,no,no,no,2,3,1386,486.1764705882353,1.6,2.2724999999999995,g,x,low,F,F,0.8835589653434726,0.9013901827259108,1.039999999999992,3.084000000000003
DVA1A,0.10900000000000887,140.618,2,1,no,no,no,no,no,no,3,1,486.1764705882353,836.2,2.2724999999999995,1.612,g,g,mid,F,F,0.9013901827259108,1.2358132062666731,3.084000000000003,1.1899999999999977
DVA1A,-0.9590000000000032,140.958,1,2,no,no,no,no,no,no,1,1,836.2,360.6666666666667,1.612,2.513333333333333,g,g,mid,F,F,1.2358132062666731,1.2287381243334647,1.1899999999999977,2.6260000000000048
DVA1A,0.2259999999999991,143.584,2,1,no,no,no,no,no,no,1,4,360.6666666666667,365.72,2.513333333333333,2.177368421052632,g,x,low,F,F,1.2287381243334647,1.0180307212197974,2.6260000000000048,7.319999999999993
DVA1A,0.18200000000001637,151.13,1,2,no,no,no,no,no,yes,4,2,365.72,461.57142857142856,2.177368421052632,1.721666666666667,g,g,low,F,F,1.0180307212197974,0.9504519298580851,7.319999999999993,2.1459999999999866
DVA1A,0.9410000000000025,153.458,2,1,no,no,no,no,no,no,2,NA,461.57142857142856,NA,1.721666666666667,NA,g,g,mid,F,F,0.9504519298580851,1.5310759261186888,2.1459999999999866,0.12000000000000455
DVA1A,0.04800000000000182,154.519,1,2,no,no,no,no,no,no,NA,NA,NA,NA,NA,NA,g,g,mid,F,F,1.5310759261186888,9.077092990561509,0.12000000000000455,0.6599999999999966
DVA1A,0.4749999999999943,155.227,2,1,no,no,no,no,no,no,NA,1,NA,546.1666666666666,NA,1.814,g,g,mid,F,F,9.077092990561509,1.303295652159957,0.6599999999999966,4.485000000000014
